Serber Data,Species ,Count,Notes,,,,,
Site 1 (~4m from culvert),Gomphidae,1,,,,,,
,Leuctridae,1,,,,,,
,Chloroperlidae,1,,,,,,
,Chironomidae,1,,,,,,
,Peltoperlidae,1,,,,,,
,Unknown (mayfly or stonefly),2,,,,,,
,Unknown ,1,,,,,,
Site 2 (~9m from culvert),Elmidae,3,,,,,,
,Chironomidae,2,,,,,,
,Hydropsychidae,3,,,,,,
,ephemerellidae ,3,,,,,,
,Baetidae,1,,,,,,
,Limoniidae,4,,,,,,
,Chloroperlidae,1,,,,,,
Site 3 (~20 m from culvert),odonata ,1,,,,,,
,leptophlebidae,2,,,,,,
,ephemerellidae ,1,,,,,,
,Hydropsychidae,2,,,,,,
,diptera lemoniidae ,1,,,,,,
,1 coleoptera elmidae ,1,,,,,,
Site 4  (~25 m from culvert),betadae ,2,,,,,,
,Chloroperlidae,1,,,,,,
,adult elmidae ,2,,,,,,
,hydropsychidae,1,,,,,,
,total,39,,,,,,
,,,,,,,,
Canopy Cover Data (%),,,Notes,,,,,
0.29,,,,,,,,
0.28,,,,,,,,
0.5,,,,,,,,
,,,,,,,,
YSI Data,Temp,DO (%),DO (mg/L),SPC (uS/cm),Sal,pH,Chla (ug/L),PC (ug/L)
*from the logged sample,10.2,91.3,10.27,151.8,0.07,7.38,1.06,0.15
,,,,,,,,
,,,,,,,,
,,,,,,,,
Site,Water color (abs at 475 nm),,,,,,,
Pipe,0.008,,,,,,,
Mid,0.007,,,,,,,
Downstream,0.007,,,,,,,
Average,,,,,,,,